Method,Reconstruction MSE,Runtime (s),5-fold kNN Accuracy Mean,5-fold kNN Accuracy Std
PCA,0.05618809651511007,0.08138203620910645,0.42000000000000004,0.007456540752922906
Kernel PCA,0.05739520074535877,2.7364659309387207,0.3992,0.006852736679604732
Autoencoder,0.048964379727986826,8.187806844711304,0.5448000000000001,0.012204917041913895
