Method,Trustworthiness,Continuity,Kruskal Stress,5-fold kNN Accuracy Mean,5-fold kNN Accuracy Std
t-SNE perplexity=30,0.9896629567307692,0.9761054807692308,5.521680077033784,0.9352,0.004833218389437789
"UMAP n=10, min_dist=0.0",0.9705866426282052,0.9763275400641026,0.4490056925617761,0.9339999999999999,0.0055856960175075495
